run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[3],userThroughputTotalStat:stats,,,,1,,3774.6736842105,0,3774.6736842105,3774.6736842105
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[3],userThroughputStat:stats,,,,190001,,3774.6538176115,19402.942747219,0,284000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[3],packetDelayStat:stats,,,,9494,,0.00025125597804814,0.00014433968307848,9.1031e-008,0.000499893462
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[3],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[4],userThroughputTotalStat:stats,,,,1,,3778.8,0,3778.8,3778.8
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[4],userThroughputStat:stats,,,,190001,,3778.7801116836,19550.76491782,0,318000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[4],packetDelayStat:stats,,,,9387,,0.0002495490692137,0.00014422691155601,5.0369e-008,0.000499983633
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[4],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[5],userThroughputTotalStat:stats,,,,1,,3810.7684210526,Inf,3810.7684210526,3810.7684210526
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[5],userThroughputStat:stats,,,,190001,,3810.7483644823,19657.022166952,0,354000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[5],packetDelayStat:stats,,,,9475,,0.0002501878431847,0.00014484814546365,5.116e-009,0.000499926049
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[5],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[6],userThroughputTotalStat:stats,,,,1,,3730.7263157895,0,3730.7263157895,3730.7263157895
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[6],userThroughputStat:stats,,,,190001,,3730.7066804912,19386.482721353,0,294000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[6],packetDelayStat:stats,,,,9318,,0.00024910125321067,0.00014474626747022,9.4819e-008,0.00049997253
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[6],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
