run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[7],packetDelayStat:stats,,,,1949,,25.371808182572,16.984998206926,0.01182810053,69.245418258462,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[8],userThroughputStat:stats,,,,1111,,37.365236523653,117.46935883833,0,981.11111111111,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[8],packetBytesStat:stats,,,,1976,,37.81528340081,21.930148930688,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[8],packetDelayStat:stats,,,,1976,,11.078799878443,9.1154852626061,0.003948861912,52.492500400296,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[8],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[9],userThroughputStat:stats,,,,1111,,37.715271527153,166.15120233576,0,1156.1111111111,,
